utility_id,utility_name,state,fiscal_year,total_revenue,total_expenses,net_income,total_assets,total_liabilities,total_equity,operating_margin,debt_to_assets
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2024,75099224.24,65699531.59,9399692.66,1081727469.49,503705972.28,578021497.21,12.52,46.56
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2023,72464209.92,61844563.55,10619646.37,605557798.23,334285250.66,271272547.56,14.66,55.2
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2022,69921650.62,53521373.36,16400277.26,591633389.94,265515111.32,326118278.62,23.46,44.88
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2021,67468302.36,54284807.74,13183494.62,706225580.74,299302438.24,406923142.5,19.54,42.38
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2020,65101034.99,52161309.94,12939725.05,792203227.39,376217675.29,415985552.1,19.88,47.49
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2019,62816828.18,52273452.7,10543375.48,865465801.96,433151430.76,432314371.2,16.78,50.05
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2018,60612767.57,46282825.62,14329941.95,612935983.43,334962419.8,277973563.63,23.64,54.65
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2017,58486041.06,48108774.12,10377266.95,735822277.14,419363927.43,316458349.71,17.74,56.99
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2016,56433935.23,49796997.39,6636937.84,816122088.46,484275991.47,331846097.0,11.76,59.34
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,2015,54453831.85,44381983.17,10071848.69,555620814.68,251746677.98,303874136.69,18.5,45.31
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2024,142443133.66,122688425.85,19754707.8,1793441992.78,746023169.01,1047418823.77,13.87,41.6
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2023,138213090.97,119413928.97,18799162.0,1693976443.38,960110994.86,733865448.52,13.6,56.68
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2022,134108665.15,112502748.61,21605916.54,1742388135.04,762738528.42,979649606.62,16.11,43.78
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2021,130126125.84,99025156.85,31100968.99,1922802983.67,900074912.68,1022728070.99,23.9,46.81
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2020,126261853.45,104410087.05,21851766.4,1687888799.18,698651919.48,989236879.7,17.31,41.39
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2019,122512335.9,103589570.11,18922765.79,1777748277.48,819448889.84,958299387.64,15.45,46.09
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2018,118874165.37,96367523.89,22506641.48,1294309059.92,730737820.72,563571239.2,18.93,56.46
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2017,115344035.26,98013157.21,17330878.05,1114713845.55,602095483.62,512618361.93,15.03,54.01
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2016,111918737.17,91796902.9,20121834.28,1426831895.62,713090087.02,713741808.6,17.98,49.98
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,2015,108595157.97,87948089.06,20647068.92,1018637625.56,496927946.81,521709678.75,19.01,48.78
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2024,853704223.97,648929606.34,204774617.63,7868118384.4,4391085309.15,3477033075.24,23.99,55.81
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2023,815979595.04,713402506.6,102577088.43,12174693909.96,5131053813.38,7043640096.58,12.57,42.15
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2022,779921992.67,603162103.15,176759889.52,10695733952.23,5292057410.46,5403676541.77,22.66,49.48
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2021,745457752.08,592856981.98,152600770.1,10900979414.86,5033354949.18,5867624465.67,20.47,46.17
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,2020,712516463.64,607283008.83,105233454.81,6288341635.26,2888650079.5,3399691555.76,14.77,45.94
