utility_id,name,state_code,utility_type,population_served,connections,year_established,website_url
293ab392-ac45-4c8d-8f7c-a5c93ee0ae35,City IL Water and Sewer Department,IL,municipal,94271,31884,1940,https://www.ilwater1.gov
6d9c14db-da03-4b1a-94ba-6758104082d1,Greater PA Water Company,PA,municipal,254257,76138,1982,https://www.pawater2.gov
2372bfa6-af8d-41ad-b375-3bc957db48a7,Metro OK Regional Water Authority,OK,special_district,946398,310442,1933,https://www.okwater3.gov
7d68dc68-d86c-4267-b04a-050115e10b98,Metro GA Water System,GA,special_district,420708,143585,1967,https://www.gawater4.gov
439fe16c-264f-4c3e-8eb7-1be94a00570b,Central PA Water Department,PA,municipal,99179,27619,1943,https://www.pawater5.gov
bb67f714-8c8b-441d-a28f-29340d31fadd,Metro UT Water and Power Department,UT,regional,380837,130970,1956,https://www.utwater6.gov
6bc45aa7-89e1-4682-b46f-8b26248448ed,Central FL Water Resources Authority,FL,municipal,111823,34406,1980,https://www.flwater7.gov
389dd188-446a-4e9a-af32-0d0495062e6f,South IL Water Commission,IL,municipal,26178,7295,1978,https://www.ilwater8.gov
c2e1600d-08ed-427f-8825-b585cf20c56b,South CO Metropolitan Water District,CO,regional,67592,17151,1945,https://www.cowater9.gov
c00ef239-4c05-4f6b-85e3-3cbe3efc283f,North MO County Water District,MO,municipal,948029,281462,1962,https://www.mowater10.gov
1779ca3d-e65c-4536-9d56-a6bc13375652,West WA Regional Water Authority,WA,municipal,1698,487,1994,https://www.wawater11.gov
47216d08-a540-4ce2-bcc5-f9da40c26f71,Regional UT Public Utilities Commission,UT,special_district,2994667,950792,1964,https://www.utwater12.gov
88e7d523-b202-4076-9494-a422c7421a3c,North TN Metropolitan Water District,TN,special_district,104939,27949,1971,https://www.tnwater13.gov
e90fcc91-88e2-47b9-80d5-9e5d540cb22c,South NY Municipal Water Works,NY,municipal,241272,77052,1961,https://www.nywater14.gov
55bc50cc-5661-47ee-98a7-731cf6713484,Central AL Water and Power Department,AL,municipal,355784,106601,1977,https://www.alwater15.gov
34735680-0ad7-4c7b-927e-09ef4136d825,North MO Municipal Water District,MO,municipal,585209,200985,1995,https://www.mowater16.gov
823fed2b-302f-48bc-84da-f978121a92d7,Central SC Water and Power Department,SC,municipal,555870,187114,1924,https://www.scwater17.gov
9c0e980d-a161-4c88-b1d5-0b66fd904fbb,South FL Water Management District,FL,regional,106964,28068,1935,https://www.flwater18.gov
fe8300d4-445e-4cee-8f97-5b77bcadc1a7,County CO Municipal Water District,CO,municipal,153844,53328,1994,https://www.cowater19.gov
b9fe26d4-e8da-4a6b-b2dd-9c3a89ef12f5,Central TX Municipal Utility District,TX,special_district,3107853,825873,1989,https://www.txwater20.gov
f9ca4351-66fc-4f3e-9d02-9e5b85532426,Central WI Metropolitan Water District,WI,municipal,54301,15785,1929,https://www.wiwater21.gov
5900ba7f-05b6-4f39-a770-e06b3975a3c1,West MD Water and Power Department,MD,regional,8633,2510,1977,https://www.mdwater22.gov
784c2a9f-ce07-470e-92dc-2956d20b8f1f,East IN Metropolitan Water District,IN,municipal,24135,8409,1941,https://www.inwater23.gov
62d4db5b-e1e3-4272-91a8-936ad85ee6e8,South TX Water Corporation,TX,municipal,631050,181056,1992,https://www.txwater24.gov
59448f05-37b9-4b8d-bf61-c1e14a7d8cbe,Municipal NY Water and Sewer Commission,NY,special_district,562568,151116,1934,https://www.nywater25.gov
55988f8f-a099-44a2-8047-d8a8a2e05cf0,City GA Water System,GA,municipal,17616,6066,1936,https://www.gawater26.gov
d22ec3fb-798c-4edb-b6cb-effc3e392af0,Greater VA County Water District,VA,regional,86383,23420,1944,https://www.vawater27.gov
6702a54e-289f-4b19-9313-a33f250a375e,South VA Water and Power Department,VA,municipal,148395,45782,1934,https://www.vawater28.gov
